id;isbn;stock;autor;imagen;paginas;titulo;numero_alquilados
1;2512;15710;worthwhile pupate once;yahoo apud;6566;forgive nearly;32472
2;23632;24305;old-fashioned;escape;10923;ack obediently;26786
3;6810;24524;hutch;pro freely;10196;drat silently hurry;21933
4;29454;24433;phooey ah conformation;blah;1366;hungry sunlamp;16108
5;20064;17696;except;indeed pace justice;3705;mailing;30817
6;18477;18864;lowball;ouch;18719;unless water;1115
7;10266;21945;flounder wax whether;catalogue minty;29399;lazily;32273
8;20484;2269;midst illiterate;yippee onto;1733;amuse gentle;25068
9;13193;8088;interface solemnly soak;abaft sniff;10343;acclaimed even;30694
10;13400;4562;gracious wherever antagonise;upside-down boohoo;32223;actually equally ah;5451
